,Dynamic,60_40,EqualWeight
2015-12-03,-0.03528869659610445,-0.03857698541582599,-0.03266003460793376
2015-12-04,-0.021574174671993074,-0.024071373052102052,-0.020235222575297862
2015-12-07,-0.02232854199307388,-0.023860106811614545,-0.02201841330067089
2015-12-08,-0.023209453364453903,-0.027616686308007843,-0.02268031218403488
2015-12-09,-0.029917401940638966,-0.03258861388280576,-0.026631871709818178
2015-12-10,-0.02810374977866026,-0.030584107946031724,-0.025858877957045
2015-12-11,-0.035583590280506394,-0.0359046766033887,-0.027906398048151093
2015-12-14,-0.035705109988974915,-0.038007565012697975,-0.031454822207050204
2015-12-15,-0.03327979899314992,-0.03425433371716258,-0.03060190804123819
2015-12-16,-0.026341058180735177,-0.026665394719490032,-0.02483244079743996
2015-12-17,-0.031966648834613975,-0.03125601506786557,-0.030808267792110988
2015-12-18,-0.03992963216229617,-0.0395603461701276,-0.03270230637232552
2015-12-21,-0.03450343517243726,-0.03491958433901654,-0.027835295618710565
2015-12-22,-0.03244562147302099,-0.032487569758883006,-0.02783065444187205
2015-12-23,-0.029487298513035,-0.02826521876081134,-0.02675974847552398
2015-12-24,-0.02843791628700154,-0.02700780594673291,-0.02460033304611342
2015-12-28,-0.0286797653150046,-0.027194811493555404,-0.02587983926381543
2015-12-29,-0.024972132949564574,-0.027517946963461437,-0.025352342556514085
2015-12-30,-0.029585177302154708,-0.032056813878460044,-0.029284863242653558
2015-12-31,-0.03483496874274461,-0.03615791329203166,-0.03204079397885651
2016-01-04,-0.04442561901048303,-0.0415275987797048,-0.03343789458013069
2016-01-05,-0.045616194053515025,-0.04210582037400468,-0.03378442875108156
2016-01-06,-0.04856819176128879,-0.04427312690406615,-0.031853974004702246
2016-01-07,-0.06531742763366466,-0.057512735072411725,-0.03794602159492377
2016-01-08,-0.06938235852118368,-0.06206959657077726,-0.04051272914419868
2016-01-11,-0.07024721522619992,-0.06564133434788622,-0.043503287066065544
2016-01-12,-0.06117390607700257,-0.05578338179795206,-0.03817584263876095
2016-01-13,-0.07763606286244562,-0.06638759125476024,-0.04477495361787298
2016-01-14,-0.0682666417768859,-0.06077809671981749,-0.04321868135954232
2016-01-15,-0.0814985554918567,-0.0671961627680433,-0.0467362212924084
2016-01-19,-0.08110437060594056,-0.06761066686356065,-0.04704962871151608
2016-01-20,-0.08194490717538827,-0.07091947645755825,-0.044922467339816086
2016-01-21,-0.08212398947552446,-0.07033670809644499,-0.045194072374478034
2016-01-22,-0.06825476589699753,-0.060430845161664526,-0.03917962372483119
2016-01-25,-0.0754814766866152,-0.06698431288333428,-0.04097457492350909
2016-01-26,-0.06939961690604357,-0.059220527031646375,-0.03529401990153014
2016-01-27,-0.08147024373366973,-0.06548711379107874,-0.04039328996287572
2016-01-28,-0.07453243043386393,-0.062040708486582496,-0.038602674010518534
2016-01-29,-0.05993316387360437,-0.045319355464969235,-0.028421293189506924
2016-02-01,-0.05998015666428291,-0.04669700904461027,-0.027343585896232536
2016-02-02,-0.06790016374885532,-0.05008975396744075,-0.02944500014421203
2016-02-03,-0.06896660099193486,-0.04984781835992702,-0.029015801118994156
2016-02-04,-0.06815214620747323,-0.047117245796183926,-0.025629962239205772
2016-02-05,-0.08248536891262759,-0.05766929882150762,-0.031584686546680785
2016-02-08,-0.0873327244749792,-0.057306337962829246,-0.02927528000173496
2016-02-09,-0.08837157221364078,-0.056874690288350904,-0.02998104108548383
2016-02-10,-0.08649327960662856,-0.05405306459639403,-0.026352796614895757
2016-02-11,-0.08753298908136165,-0.05884381355131252,-0.0202891829563302
2016-02-12,-0.08182401665024785,-0.05362236620433902,-0.0196283460282205
2016-02-16,-0.07304518483111144,-0.04814143746303878,-0.02060407574637113
2016-02-17,-0.06384626744728183,-0.041235725660040634,-0.014665260519420409
2016-02-18,-0.06693736753478785,-0.03891013757980033,-0.010374773790928882
2016-02-19,-0.06621909075328736,-0.03885698915971958,-0.01097385948888796
2016-02-22,-0.05896025675230088,-0.030772746271955143,-0.009138797960643763
2016-02-23,-0.0658827637832663,-0.03659771156485514,-0.010507757398010353
2016-02-24,-0.06202082622296956,-0.03472202690348081,-0.00792759054710268
2016-02-25,-0.0562638255665735,-0.02636889155861677,-0.002758585409160963
2016-02-26,-0.05850689643767426,-0.03148882475770276,-0.007132852553184299
2016-02-29,-0.06214006837653585,-0.034374821325175664,-0.006693840691947894
2016-03-01,-0.05052889711989106,-0.027774839235985893,-0.0032958089130633583
2016-03-02,-0.05016076518742274,-0.02355860365285478,-0.0008337438871079961
2016-03-03,-0.049879802124118355,-0.01984604283363356,0.0
2016-03-04,-0.05021190656039731,-0.020457809886620937,-0.0014123900019971103
2016-03-07,-0.052771549979164334,-0.020110801711891058,-0.0019857046326495764
2016-03-08,-0.05566020830484564,-0.022259424785281867,-0.003061584910830195
2016-03-09,-0.05377880782965594,-0.02175307461566023,-0.004286297994569699
2016-03-10,-0.05497734472741855,-0.022890789969131076,-0.00305945939364638
2016-03-11,-0.04782646282859937,-0.017475225816363404,-0.002721359277180646
2016-03-14,-0.04728137757844231,-0.016999116844765516,-0.004167628703464099
2016-03-15,-0.04758716606407798,-0.017591855302700243,-0.004189819213943458
2016-03-16,-0.042143349859248835,-0.013024296031185711,0.0
2016-03-17,-0.04120555555640282,-0.007651488313755284,0.0
2016-03-18,-0.03967122020131886,-0.004484875162419799,0.0
2016-03-21,-0.03881288498553381,-0.006704476614835864,-0.0020619494737953437
2016-03-22,-0.03847309449773695,-0.007117785732164927,-0.0016424174382657641
2016-03-23,-0.04104699251527644,-0.0065901084507733465,-0.005193560124772012
2016-03-24,-0.04135727395972011,-0.0067008553070718735,-0.00580039788739406
2016-03-28,-0.04136134506040212,-0.005827906597481114,-0.005051256017686079
2016-03-29,-0.03270376491041793,0.0,0.0
2016-03-30,-0.030705051158740893,-0.0016068292056566902,-0.0027784011733751335
2016-03-31,-0.030623193940929938,-0.0002394558581159112,-0.0008042462627684266
2016-04-01,-0.027521948148145237,0.0,0.0
2016-04-04,-0.030307565849946316,-0.0017011995237882216,-0.0018753434372670297
2016-04-05,-0.031612773396446636,-0.003370398664914509,-0.00047769072884795705
2016-04-06,-0.026206994079286283,0.0,0.0
2016-04-07,-0.028920752928695226,-0.0023151518002541005,0.0
2016-04-08,-0.029424697449193182,-0.0032342391674921034,-0.0012390509283223272
2016-04-11,-0.028431513735461267,-0.005153582916682886,-0.00027256802627806387
2016-04-12,-0.025104180781971297,-0.002376630302696081,0.0
2016-04-13,-0.021267531195622524,0.0,0.0
2016-04-14,-0.024550551987181923,-0.001893850283858911,-0.0035166029007613897
2016-04-15,-0.023493596217120327,0.0,-0.0009451202387891211
