,Return
2016-04-08,-0.0005189530329452767
2016-04-11,0.001023293824932226
2016-04-12,0.003424702427600148
2016-04-13,0.0039354457273456985
2016-04-14,-0.0033543597420140243
2016-04-15,0.001083557709950787
2016-04-18,0.0023675355691272822
2016-04-19,0.001062387844796741
2016-04-20,-0.0018289732837961808
2016-04-21,-0.0004127048523291237
2016-04-22,-0.00820126418892413
2016-04-25,5.225259410072134e-05
2016-04-26,-0.0011861613057985083
2016-04-27,-0.0006285628762564465
2016-04-28,-0.001012475127700422
2016-04-29,0.0011813414735279031
2016-05-02,0.0024791287914343735
2016-05-03,-0.0036081428260346443
2016-05-04,-0.0042870958899600044
2016-05-05,0.00017288309189785925
2016-05-06,0.0043662812868033
2016-05-09,-0.004593157100681515
2016-05-10,0.00699517440722869
2016-05-11,-0.0012354957634909702
2016-05-12,-0.004317783955760462
2016-05-13,-0.00029986891101007446
2016-05-16,0.004856300126004923
2016-05-17,-0.004773410424734066
2016-05-18,-0.0057904399269182675
2016-05-19,-0.0025222379327374685
2016-05-20,0.004230832826589901
2016-05-23,-0.001312504637219014
2016-05-24,0.002818227428187484
2016-05-25,0.0024173320041432555
2016-05-26,0.0006990875073766829
2016-05-27,-0.0005443079677645291
2016-05-31,0.0017144571744522631
2016-06-01,-0.0002264947998564752
2016-06-02,0.0007763625337896003
2016-06-03,0.011020790453547584
2016-06-06,0.0011476718722062797
2016-06-07,-0.0003592964280208121
2016-06-08,0.006798998975822876
2016-06-09,0.00188450362084279
2016-06-10,-0.0017999773285027622
2016-06-13,0.00011276365775574754
2016-06-14,4.7356699125714323e-05
2016-06-15,0.002628238280867023
2016-06-16,-0.0026371209343224087
2016-06-17,0.0007280041089644668
2016-06-20,-0.000828884889457316
2016-06-21,-0.00676853208780574
2016-06-22,-0.00017930579866638367
2016-06-23,0.001704513653183884
2016-06-24,0.005967409569256076
2016-06-27,-0.003432935942174742
2016-06-28,0.0036806561582228663
2016-06-29,0.0073618885348066855
2016-06-30,0.0071941041106446954
2016-07-01,0.004035294653027463
2016-07-05,-0.0005189435833368102
2016-07-06,0.0042184016296101445
2016-07-07,7.650581399016156e-05
2016-07-08,0.008621215488552464
2016-07-11,-0.00028305014365150093
2016-07-12,-0.0007726597181653488
2016-07-13,0.0008874644348351708
2016-07-14,0.0009727988923240121
2016-07-15,-0.00243448135006944
2016-07-18,0.0027385109929606273
2016-07-19,-0.0003513405182214818
2016-07-20,0.002504692986643334
2016-07-21,0.0008502845754368477
2016-07-22,0.0010898484308086735
2016-07-25,-0.0013479000816412142
2016-07-26,0.0010633850834481813
2016-07-27,0.00514972694807172
2016-07-28,0.0012582238325083606
2016-07-29,0.0033136118284964426
2016-08-01,0.00038956929075995304
2016-08-02,-0.004439131468344343
2016-08-03,0.0017486540669506639
2016-08-04,0.0021104509410473007
2016-08-05,0.00201115876574937
2016-08-08,-0.0007235558163881958
2016-08-09,0.00226295035528724
2016-08-10,-0.00022654121205643336
2016-08-11,0.00031081958050259065
2016-08-12,0.0014332514977006248
2016-08-15,0.0008889781472328628
2016-08-16,-0.003305173868497743
2016-08-17,0.0014704398251228679
2016-08-18,0.0011919710447004005
2016-08-19,-0.0017077436690540184
2016-08-22,0.001042867559865001
2016-08-23,0.0009099640801036274
2016-08-24,-0.003292557934456247
2016-08-25,-0.0012904083596338607
2016-08-26,-0.0012657842834471068
2016-08-29,0.002753859956583655
2016-08-30,-0.0014899440130608206
2016-08-31,-0.00122711832395758
2016-09-01,0.0015342293527458087
2016-09-02,0.0005695822780256714
2016-09-06,0.005439225252816664
2016-09-07,0.0002834320213398521
2016-09-08,-0.005743730334057175
2016-09-09,-0.018073582359544697
2016-09-12,0.01025682738698934
2016-09-13,-0.008479587808348696
2016-09-14,0.0028636996576186674
2016-09-15,0.007818815475852952
2016-09-16,0.0003743302351131291
2016-09-19,-0.0027087087166197434
2016-09-20,0.0016511894753233375
2016-09-21,0.007459797689767706
2016-09-22,0.0061440733535522785
2016-09-23,-0.0036088623620302066
2016-09-26,-0.0034206898070136575
2016-09-27,0.006471972183071597
2016-09-28,0.0010896550203680535
2016-09-29,-0.004114466589986358
2016-09-30,0.002668856781400493
2016-10-03,-0.0022154103381906783
2016-10-04,-0.004945434377851935
2016-10-05,0.0008922465402213869
2016-10-06,-0.0016948771609788381
2016-10-07,-0.0010771747969725604
2016-10-10,0.0019859355234028656
2016-10-11,-0.008889746814286613
2016-10-12,1.7420656759485184e-05
2016-10-13,-0.0009438636228920956
2016-10-14,-0.002762533117368969
2016-10-17,-6.925060168513274e-05
2016-10-18,0.005990781234696211
2016-10-19,0.0006625825336143679
2016-10-20,-0.0008191894489669096
2016-10-21,0.002256048151274636
