,Portfolio Value
2018-11-28,1327041.3065836302
2018-11-29,1323208.8719414137
2018-11-30,1332240.637286033
2018-12-03,1353377.2903797259
2018-12-04,1303370.8148149508
2018-12-06,1308638.3076927518
2018-12-07,1269313.6486977781
2018-12-10,1278750.584979402
2018-12-11,1281600.3017048428
2018-12-12,1291153.0319328967
2018-12-13,1291253.9955924107
2018-12-14,1262142.457363675
2018-12-17,1234587.1813212254
2018-12-18,1239144.2371151461
2018-12-19,1212576.3508051068
2018-12-20,1194103.2669815584
2018-12-21,1161014.8350580123
2018-12-24,1131184.765718865
2018-12-26,1195230.3120290714
2018-12-27,1201430.2891488804
2018-12-28,1200479.8125620577
2018-12-31,1210696.4213964595
2019-01-02,1214293.6058690215
2019-01-03,1177813.133450426
2019-01-04,1223467.0916234264
2019-01-07,1236241.9509819697
2019-01-08,1247523.4589807463
2019-01-09,1256140.4537030126
2019-01-10,1260020.480722865
2019-01-11,1257188.754522566
2019-01-14,1247243.4022502538
2019-01-15,1267895.2366594984
2019-01-16,1268815.6754757774
2019-01-17,1278648.1624360534
2019-01-18,1292752.6011351137
2019-01-22,1269596.5229379525
2019-01-23,1271594.8599186959
2019-01-24,1277166.3858467182
2019-01-25,1290792.7330660732
2019-01-28,1276918.0295574833
2019-01-29,1268451.1731245865
2019-01-30,1296135.1671220025
2019-01-31,1312618.7124135834
2019-02-01,1309230.0673004852
2019-02-04,1322947.830564253
2019-02-05,1332459.8189315945
2019-02-06,1329257.9536617019
2019-02-07,1313120.464457121
2019-02-08,1315354.280134018
2019-02-11,1314797.0466782034
2019-02-12,1333220.4573279554
2019-02-13,1335340.9433993865
2019-02-14,1335368.9608076331
2019-02-15,1344076.4677158215
2019-02-19,1346616.0038027735
2019-02-20,1347412.204552847
2019-02-21,1342522.9864703412
2019-02-22,1351860.8426715168
2019-02-25,1355700.749646614
2019-02-26,1356274.4860567146
2019-02-27,1355512.0217451511
2019-02-28,1352594.8085740623
2019-03-01,1361611.1310028792
2019-03-04,1360027.586655796
2019-03-05,1360038.34055254
2019-03-06,1352118.609232164
2019-03-07,1337290.7613461232
2019-03-08,1335035.0716270143
2019-03-11,1359624.0131663333
2019-03-12,1366257.496010623
2019-03-13,1376059.6813469029
2019-03-14,1374233.5454858122
2019-03-15,1384855.9509839795
2019-03-18,1388751.2722219224
2019-03-19,1391901.9401367728
2019-03-20,1394014.4141721874
2019-03-21,1413548.1647015433
2019-03-22,1383529.3000885232
2019-03-25,1381451.2968984428
2019-03-26,1389214.0246509998
2019-03-27,1380846.7743318528
2019-03-28,1384741.3421649274
2019-03-29,1394576.1546424816
2019-04-01,1403170.8468272309
2019-04-02,1406817.9440365203
2019-04-03,1409181.6551328679
2019-04-04,1411622.3248073123
2019-04-05,1415577.8467042774
2019-04-08,1419208.5399463377
2019-04-09,1417871.1908882577
2019-04-10,1423334.2710759896
2019-04-11,1415618.9859891443
2019-04-12,1420229.1391092998
2019-04-15,1419003.8511089443
2019-04-16,1416143.7402950607
2019-04-17,1415384.546202236
2019-04-18,1417266.1934126152
2019-04-22,1418854.1696568914
2019-04-23,1427437.1929863566
2019-04-24,1426515.5185585301
2019-04-25,1428309.6442074755
2019-04-26,1434402.1297143598
2019-04-29,1433692.4163914986
2019-04-30,1432292.5168832939
2019-05-01,1423048.4257002866
2019-05-02,1418299.4326812783
2019-05-03,1431073.4749188663
2019-05-06,1428343.8424653504
2019-05-07,1417167.9001825533
2019-05-08,1414183.1760078734
2019-05-09,1412929.1601509475
2019-05-10,1416984.36841937
2019-05-13,1402279.7363747356
2019-05-14,1408280.1627837734
2019-05-15,1414285.1969871726
2019-05-16,1416536.9515002887
2019-05-17,1405984.3310328084
2019-05-20,1398414.9464308717
2019-05-21,1403852.431729547
2019-05-22,1400566.7429486313
2019-05-23,1395805.296793114
2019-05-24,1397494.0108473068
2019-05-28,1389426.1015109483
2019-05-29,1384331.6563830478
2019-05-30,1391106.6212682163
2019-05-31,1389328.7661867428
2019-06-03,1386110.2528758997
2019-06-04,1403438.1469657996
2019-06-05,1410243.8219077922
2019-06-06,1417131.7295320753
2019-06-07,1432186.7246037936
2019-06-10,1432692.0768830467
2019-06-11,1432665.7351260309
2019-06-12,1432649.142561753
2019-06-13,1440099.9647295712
2019-06-14,1437768.0544685186
2019-06-17,1440370.4891930313
2019-06-18,1452832.2070169116
2019-06-19,1458904.5488180555
2019-06-20,1479142.618042935
2019-06-21,1480735.030613177
2019-06-24,1489003.9688761316
2019-06-25,1479285.2696594095
2019-06-26,1475583.2897015342
2019-06-27,1478433.3778628246
2019-06-28,1481888.5628497642
2019-07-01,1482147.088749883
2019-07-02,1494626.0605902355
2019-07-03,1501643.8902867043
2019-07-05,1493376.0945269496
2019-07-08,1485574.3559627314
2019-07-09,1489630.5971944535
2019-07-10,1502304.1441720389
2019-07-11,1497073.575952916
2019-07-12,1503977.635034336
2019-07-15,1506516.6204225153
2019-07-16,1498810.2621169125
2019-07-17,1503213.6553849913
2019-07-18,1511216.692212281
2019-07-19,1499335.4072586822
2019-07-22,1504118.5925513804
2019-07-23,1506095.8047017683
2019-07-24,1513425.6483765624
2019-07-25,1503764.8777486796
2019-07-26,1511214.6205639448
2019-07-29,1512080.5115980438
2019-07-30,1510846.0432061572
2019-07-31,1496646.1895366532
2019-08-01,1515508.86015076
2019-08-02,1504019.7731397601
2019-08-05,1497543.334937066
2019-08-06,1512613.7507173948
2019-08-07,1529443.534904719
2019-08-08,1546097.0945831034
2019-08-09,1537636.3137836072
2019-08-12,1540497.1272377376
2019-08-13,1546750.0822096309
2019-08-14,1536393.8882135146
2019-08-15,1542310.6908273848
2019-08-16,1545053.5906802053
2019-08-19,1542526.3233591882
2019-08-20,1545663.8599212067
2019-08-21,1547519.65591846
2019-08-22,1543263.1036116853
2019-08-23,1543923.8601420857
2019-08-26,1552354.0109570774
2019-08-27,1560348.1924009104
2019-08-28,1559773.2555513412
2019-08-29,1561392.772267465
2019-08-30,1557624.8538340451
2019-09-03,1561427.6108305175
2019-09-04,1572719.766044846
2019-09-05,1560236.5930601738
2019-09-06,1556848.9405708078
2019-09-09,1547350.9512923986
2019-09-10,1534540.16277608
2019-09-11,1541744.5252389295
2019-09-12,1542618.5576515524
2019-09-13,1528203.2381671306
2019-09-16,1535248.743302224
2019-09-17,1540683.7194898487
2019-09-18,1538076.0386755164
2019-09-19,1542118.4280011624
2019-09-20,1548732.1701282123
2019-09-23,1552437.6428823206
2019-09-24,1553527.2926999263
2019-09-25,1542415.4148189926
2019-09-26,1542724.6788035473
2019-09-27,1534793.8264705432
2019-09-30,1531062.2513323927
2019-10-01,1529536.840848519
2019-10-02,1526661.504403155
2019-10-03,1537842.9720461443
2019-10-04,1548062.0989968549
2019-10-07,1539160.1828708432
2019-10-08,1535755.4416197068
2019-10-09,1540426.4378521002
2019-10-10,1536085.6925692984
2019-10-11,1536587.1047928147
2019-10-14,1540403.2877677476
2019-10-15,1540496.5059899557
2019-10-16,1542919.0086889155
2019-10-17,1544815.1268048564
2019-10-18,1539501.433993308
2019-10-21,1539698.6625133303
2019-10-22,1538807.3877950588
2019-10-23,1541639.173067872
2019-10-24,1549609.8554888659
2019-10-25,1553694.4170078947
2019-10-28,1551737.5208268638
2019-10-29,1547060.6442855601
2019-10-30,1556285.8887176272
2019-10-31,1565318.3686249487
2019-11-01,1570603.4548610407
2019-11-04,1570836.5958491582
2019-11-05,1554896.960401714
2019-11-06,1557999.227130984
2019-11-07,1544225.2665146848
2019-11-08,1540157.3283999742
2019-11-11,1537155.9002100579
2019-11-12,1541370.0188270137
2019-11-13,1545498.8173493778
2019-11-14,1549414.8370500284
2019-11-15,1550956.8217270584
2019-11-18,1554308.7032728444
2019-11-19,1555766.50039944
2019-11-20,1553242.8046084153
2019-11-21,1546570.444765786
2019-11-22,1545156.9089042475
2019-11-25,1546983.5211066466
2019-11-26,1552785.8077595392
2019-11-27,1551342.2598124836
2019-11-29,1554742.6265291672
2019-12-02,1548546.2138764095
2019-12-03,1553892.0867101017
2019-12-04,1555242.855447477
2019-12-05,1556883.5943099123
2019-12-06,1552617.1760979423
2019-12-09,1549860.0877964275
2019-12-10,1552243.2131927812
2019-12-11,1562027.1614709243
2019-12-12,1562479.1596325913
2019-12-13,1568826.4157479878
2019-12-16,1574211.1649952896
2019-12-17,1574304.741305416
2019-12-18,1574777.2276591156
2019-12-19,1580851.830942357
2019-12-20,1584109.608798146
2019-12-23,1588720.953477909
2019-12-24,1598668.74447118
2019-12-26,1611687.0597424337
2019-12-27,1610851.6159091976
2019-12-30,1609328.968989656
2019-12-31,1612334.2268722933
2020-01-02,1629345.0248763843
2020-01-03,1638055.963860547
2020-01-06,1652841.7986539202
