,SPY,QQQ,TLT,IEF,GLD,SHY
2017-03-31,0.25568622455462847,0.44989738008027924,0.0012493957853437717,0.17318137304944467,0.11853330527874945,0.0014523212515544905
2017-04-30,0.43054920471597335,0.44996515888575195,0.0001249363614200743,0.017317691373976263,0.10189778027735735,0.0001452283855210389
2017-05-31,0.4480581969083774,0.45000096881875645,1.6686270782111834e-05,0.0017334398504144667,0.1001710690370913,1.9639114578272935e-05
2017-06-30,0.4497869815053986,0.44998768041547604,1.6685853691171448e-06,0.0001733396521256817,0.10004836597926284,1.963862367788694e-06
2017-07-31,0.449974812031065,0.44999149545661,1.0717691998550023e-06,2.127949134265837e-05,0.10001000267876942,1.338573013019518e-06
2017-08-31,0.35997664397939033,0.4499929055380812,5.99032931236882e-07,1.727844217850535e-05,0.1900116019256957,9.710817229359177e-07
2017-09-30,0.44100248543461634,0.4499934035178432,7.962537408495752e-07,1.7278360062607514e-06,0.10900048336178342,1.1035960100124914e-06
2017-10-31,0.4490918525880428,0.4499976412124401,7.962526353835313e-08,4.168841340674699e-07,0.10090775622105917,2.2534690602595784e-06
2017-11-30,0.44990876082340253,0.4500007220385389,7.962524465809992e-09,4.168840352184657e-08,0.10008935181693242,1.1156701981214985e-06
2017-12-31,0.44999807250870877,0.45000160677726114,1.1939459873661973e-06,1.2050891477266086e-06,0.09999597940301354,1.942275881344272e-06
2018-01-31,0.17999383350665715,0.6300029928374835,0.17999884049010828,1.2954304933114283e-06,0.010001172593736734,1.8651415210448988e-06
2018-02-28,0.17999383350665715,0.6300029928374835,0.17999884049010828,1.2954304933114283e-06,0.010001172593736734,1.8651415210448988e-06
2018-03-31,0.17999383350665715,0.6300029928374835,0.17999884049010828,1.2954304933114283e-06,0.010001172593736734,1.8651415210448988e-06
2018-04-30,0.17999383350665715,0.6300029928374835,0.17999884049010828,1.2954304933114283e-06,0.010001172593736734,1.8651415210448988e-06
2018-05-31,0.17999383350665715,0.6300029928374835,0.17999884049010828,1.2954304933114283e-06,0.010001172593736734,1.8651415210448988e-06
2018-06-30,0.33300070180961305,0.6479935337394853,0.01800114230450998,6.615087447098187e-07,0.0010031253757477804,8.352618991416697e-07
2018-07-31,0.34830469028792527,0.6497944943552946,0.0018001062392529513,6.615058080920756e-08,0.00010055944112728186,8.352581911862834e-08
2018-08-31,0.3498531071193733,0.6499568157674855,0.00018000643570364186,6.6149041715075885e-09,1.0055710145854682e-05,8.35238757630829e-09
2018-09-30,0.34996330170197015,0.6500017772441204,2.3424522721531002e-05,1.4856387219793234e-06,8.51613242208619e-06,1.4947600436641127e-06
2018-10-31,0.34996330170197015,0.6500017772441204,2.3424522721531002e-05,1.4856387219793234e-06,8.51613242208619e-06,1.4947600436641127e-06
2018-11-30,0.34996330170197015,0.6500017772441204,2.3424522721531002e-05,1.4856387219793234e-06,8.51613242208619e-06,1.4947600436641127e-06
2018-12-31,0.34996330170197015,0.6500017772441204,2.3424522721531002e-05,1.4856387219793234e-06,8.51613242208619e-06,1.4947600436641127e-06
2019-01-31,0.34996330170197015,0.6500017772441204,2.3424522721531002e-05,1.4856387219793234e-06,8.51613242208619e-06,1.4947600436641127e-06
2019-02-28,0.34996330170197015,0.6500017772441204,2.3424522721531002e-05,1.4856387219793234e-06,8.51613242208619e-06,1.4947600436641127e-06
2019-03-31,0.34996338233233726,0.290004011033836,1.9218392549445282e-05,1.2382653298398499e-06,0.3600108971259942,1.2528499531888523e-06
2019-04-30,0.3499636177715597,0.17754806421397767,1.5168483147861316e-05,4.948105437742958e-07,0.47247207404856095,5.806722100529374e-07
2019-05-31,0.16998282560778388,0.3327538334147955,1.2095735476828545e-05,0.13729823306527075,0.3599526773003142,3.3487635879481587e-07
2019-06-30,0.14294234709494774,0.34827444943633873,0.009062709754010242,0.2252303888918936,0.27448928340393175,8.214188780443427e-07
2019-07-31,0.014307381510051329,0.3497718165188672,0.0009180385281198302,0.022535091063103647,0.6124634997284081,4.172651449934273e-06
2019-08-31,0.001430960686153038,0.3063468138809799,0.17872393853638455,0.13724083619076105,0.37625341999950074,4.030706220649498e-06
2019-09-30,0.10244683854253601,0.28445494217985556,0.11174682859498143,0.14872280931905874,0.35262538474133354,3.1966222346671223e-06
2019-10-31,0.010248040464344643,0.3434331336146495,0.011174613187031735,0.014872188205471782,0.620269397136746,2.6273917562387305e-06
2019-11-30,0.0010333677141851742,0.3492959230570659,0.001128963600806647,0.0014982780585227836,0.6470384082681518,5.059301267615881e-06
2019-12-31,0.00010985403487784465,0.34989553858231115,0.00012040147213019357,0.0001572330975434883,0.6497113211735531,5.651639584310879e-06
2020-01-31,0.13501660945293875,0.34998764466761023,1.2040142699713686e-05,0.13500548901973658,0.3799736016285989,4.615088415778159e-06
2020-02-29,0.14848932552021793,0.3500028550570381,1.2040105498541714e-06,0.14852061395258312,0.35298553995219534,4.6150741562546543e-07
2020-03-31,0.14984717689703195,0.35000147447650115,1.204009950673843e-07,0.14985556671184766,0.35029561536290554,4.615071859545835e-08
2020-04-30,0.14997856565737647,0.35000163320483424,5.01852437825046e-06,0.14997090273591707,0.35003983427630814,4.0456011859174e-06
2020-05-31,0.14998508713836725,0.3500048086823355,7.664281672354713e-06,0.14997693368091336,0.3500187437891702,6.762427541273341e-06
